Name,Rating,Year
"The Shawshank Redemption
(1994)
",9.2,1994
"The Godfather
(1972)
",9.1,1972
"The Godfather: Part II
(1974)
",9.0,1974
"The Dark Knight
(2008)
",9.0,2008
"12 Angry Men
(1957)
",8.9,1957
"Schindler's List
(1993)
",8.9,1993
"The Lord of the Rings: The Return of the King
(2003)
",8.9,2003
"Pulp Fiction
(1994)
",8.9,1994
"Il buono, il brutto, il cattivo
(1966)
",8.8,1966
" The Lord of the Rings: The Fellowship of the Ring
(2001)
",8.8,2001
" Fight Club
(1999)
",8.8,1999
" Forrest Gump
(1994)
",8.8,1994
" Inception
(2010)
",8.7,2010
" Star Wars: Episode V - The Empire Strikes Back
(1980)
",8.7,1980
" The Lord of the Rings: The Two Towers
(2002)
",8.7,2002
" The Matrix
(1999)
",8.6,1999
" Goodfellas
(1990)
",8.6,1990
" One Flew Over the Cuckoo's Nest
(1975)
",8.6,1975
" Shichinin no samurai
(1954)
",8.6,1954
" Se7en
(1995)
",8.6,1995
" Cidade de Deus
(2002)
",8.6,2002
" La vita è bella
(1997)
",8.6,1997
" The Silence of the Lambs
(1991)
",8.6,1991
" It's a Wonderful Life
(1946)
",8.6,1946
" Star Wars
(1977)
",8.6,1977
" Gisaengchung
(2019)
",8.6,2019
" Saving Private Ryan
(1998)
",8.5,1998
" Sen to Chihiro no kamikakushi
(2001)
",8.5,2001
" The Green Mile
(1999)
",8.5,1999
" Interstellar
(2014)
",8.5,2014
" Léon
(1994)
",8.5,1994
" The Usual Suspects
(1995)
",8.5,1995
" Seppuku
(1962)
",8.5,1962
" The Lion King
(1994)
",8.5,1994
" American History X
(1998)
",8.5,1998
" Terminator 2: Judgment Day
(1991)
",8.5,1991
" The Pianist
(2002)
",8.5,2002
" Back to the Future
(1985)
",8.5,1985
" Modern Times
(1936)
",8.5,1936
" Psycho
(1960)
",8.5,1960
" Gladiator
(2000)
",8.5,2000
" City Lights
(1931)
",8.5,1931
" The Intouchables
(2011)
",8.5,2011
" The Departed
(2006)
",8.5,2006
" Whiplash
(2014)
",8.5,2014
" The Prestige
(2006)
",8.5,2006
" Once Upon a Time in the West
(1968)
",8.5,1968
" Joker
(2019)
",8.4,2019
" Hotaru no haka
(1988)
",8.4,1988
" Casablanca
(1942)
",8.4,1942
" Rear Window
(1954)
",8.4,1954
" Nuovo Cinema Paradiso
(1988)
",8.4,1988
" Alien
(1979)
",8.4,1979
" Apocalypse Now
(1979)
",8.4,1979
" Raiders of the Lost Ark
(1981)
",8.4,1981
" Memento
(2000)
",8.4,2000
" The Great Dictator
(1940)
",8.4,1940
" The Lives of Others
(2006)
",8.4,2006
" Django Unchained
(2012)
",8.4,2012
" Paths of Glory
(1957)
",8.4,1957
" Avengers: Infinity War
(2018)
",8.4,2018
" The Shining
(1980)
",8.4,1980
" WALL·E
(2008)
",8.4,2008
" Sunset Blvd.
(1950)
",8.4,1950
" Spider-Man: Into the Spider-Verse
(2018)
",8.4,2018
" Mononoke-hime
(1997)
",8.4,1997
" Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)
",8.4,1964
" Avengers: Endgame
(2019)
",8.4,2019
" Oldeuboi
(2003)
",8.4,2003
" Witness for the Prosecution
(1957)
",8.4,1957
" The Dark Knight Rises
(2012)
",8.3,2012
" Once Upon a Time in America
(1984)
",8.3,1984
" 1917
(2019)
",8.3,2019
" Aliens
(1986)
",8.3,1986
" Kimi no na wa.
(2016)
",8.3,2016
" American Beauty
(1999)
",8.3,1999
" Coco
(2017)
",8.3,2017
" Braveheart
(1995)
",8.3,1995
" Das Boot
(1981)
",8.3,1981
" 3 Idiots
(2009)
",8.3,2009
" Toy Story
(1995)
",8.3,1995
" Taare Zameen Par
(2007)
",8.3,2007
" Tengoku to jigoku
(1963)
",8.3,1963
" Star Wars: Episode VI - Return of the Jedi
(1983)
",8.3,1983
" Amadeus
(1984)
",8.3,1984
" Reservoir Dogs
(1992)
",8.3,1992
" Inglourious Basterds
(2009)
",8.3,2009
" Good Will Hunting
(1997)
",8.3,1997
" 2001: A Space Odyssey
(1968)
",8.3,1968
" Requiem for a Dream
(2000)
",8.3,2000
" M - Eine Stadt sucht einen Mörder
(1931)
",8.3,1931
" Vertigo
(1958)
",8.3,1958
" Dangal
(2016)
",8.3,2016
" Eternal Sunshine of the Spotless Mind
(2004)
",8.3,2004
" Citizen Kane
(1941)
",8.3,1941
" Jagten
(2012)
",8.3,2012
" Full Metal Jacket
(1987)
",8.3,1987
" North by Northwest
(1959)
",8.3,1959
" A Clockwork Orange
(1971)
",8.3,1971
"  Snatch
(2000)
",8.2,2000
"  The Kid
(1921)
",8.2,1921
"  Ladri di biciclette
(1948)
",8.2,1948
"  Singin' in the Rain
(1952)
",8.2,1952
"  Scarface
(1983)
",8.2,1983
"  Taxi Driver
(1976)
",8.2,1976
"  Amélie
(2001)
",8.2,2001
"  Lawrence of Arabia
(1962)
",8.2,1962
"  Capharnaüm
(2018)
",8.2,2018
"  The Sting
(1973)
",8.2,1973
"  Toy Story 3
(2010)
",8.2,2010
"  Metropolis
(1927)
",8.2,1927
"  Per qualche dollaro in più
(1965)
",8.2,1965
"  Ikiru
(1952)
",8.2,1952
"  Jodaeiye Nader az Simin
(2011)
",8.2,2011
"  Double Indemnity
(1944)
",8.2,1944
"  To Kill a Mockingbird
(1962)
",8.2,1962
"  The Apartment
(1960)
",8.2,1960
"  Incendies
(2010)
",8.2,2010
"  Indiana Jones and the Last Crusade
(1989)
",8.2,1989
"  Up
(2009)
",8.2,2009
"  L.A. Confidential
(1997)
",8.2,1997
"  Monty Python and the Holy Grail
(1975)
",8.2,1975
"  Heat
(1995)
",8.2,1995
"  Rashômon
(1950)
",8.2,1950
"  Die Hard
(1988)
",8.2,1988
"  Yôjinbô
(1961)
",8.2,1961
"  Batman Begins
(2005)
",8.2,2005
"  Unforgiven
(1992)
",8.2,1992
"  Der Untergang
(2004)
",8.2,2004
"  Green Book
(2018)
",8.2,2018
"  Bacheha-Ye aseman
(1997)
",8.2,1997
"  Idi i smotri
(1985)
",8.2,1985
"  Some Like It Hot
(1959)
",8.2,1959
"  Hauru no ugoku shiro
(2004)
",8.2,2004
"  Ran
(1985)
",8.2,1985
"  The Great Escape
(1963)
",8.2,1963
"  All About Eve
(1950)
",8.2,1950
"  A Beautiful Mind
(2001)
",8.2,2001
"  Casino
(1995)
",8.2,1995
"  Pan's Labyrinth
(2006)
",8.2,2006
"  Tonari no Totoro
(1988)
",8.2,1988
"  El secreto de sus ojos
(2009)
",8.2,2009
"  Raging Bull
(1980)
",8.2,1980
"  Lock, Stock and Two Smoking Barrels
(1998)
",8.2,1998
"  The Wolf of Wall Street
(2013)
",8.1,2013
"  The Treasure of the Sierra Madre
(1948)
",8.1,1948
"  Judgment at Nuremberg
(1961)
",8.1,1961
"  There Will Be Blood
(2007)
",8.1,2007
"  Three Billboards Outside Ebbing, Missouri
(2017)
",8.1,2017
"  Babam ve Oglum
(2005)
",8.1,2005
"  Chinatown
(1974)
",8.1,1974
"  The Gold Rush
(1925)
",8.1,1925
"  Dial M for Murder
(1954)
",8.1,1954
"  V for Vendetta
(2005)
",8.1,2005
"  Det sjunde inseglet
(1957)
",8.1,1957
"  Inside Out
(2015)
",8.1,2015
"  No Country for Old Men
(2007)
",8.1,2007
"  Warrior
(2011)
",8.1,2011
